epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1194.76,1.33096,1.53818,1.06767,0.63574,0.52483,0.57355,0.37974,1.14998,1.05616,1.00048,0.000474065,0.000474065,0.000474065
2,2370.51,1.23192,1.07278,1.04729,0.64625,0.53833,0.59455,0.39342,1.15984,0.9789,1.04639,0.000919035,0.000919035,0.000919035
3,3615.35,1.1946,0.95193,1.03891,0.68843,0.56631,0.63613,0.42721,1.09629,0.88578,1.0172,0.00133257,0.00133257,0.00133257
4,4812.27,1.15457,0.87288,1.02183,0.77319,0.5803,0.67938,0.46107,1.12059,0.81613,1.02413,0.00128753,0.00128753,0.00128753
5,5946.3,1.11935,0.80685,1.01181,0.71247,0.64909,0.72986,0.508,1.00955,0.74293,0.99464,0.00124037,0.00124037,0.00124037
6,7060.3,1.09005,0.77924,1.00317,0.79387,0.66076,0.7573,0.53095,1.01937,0.7179,1.00113,0.00119322,0.00119322,0.00119322
7,8194.57,1.06499,0.73943,0.99029,0.80321,0.60688,0.729,0.51966,0.99175,0.71127,0.97997,0.00114606,0.00114606,0.00114606
8,9324.24,1.04411,0.72301,0.98797,0.81969,0.72109,0.79531,0.56182,0.98979,0.66031,0.99361,0.0010989,0.0010989,0.0010989
9,10463.7,1.02603,0.7038,0.98256,0.87116,0.70793,0.8097,0.58764,0.9342,0.61654,0.97095,0.00105174,0.00105174,0.00105174
10,11635.7,1.0039,0.66627,0.97167,0.88814,0.71568,0.82868,0.602,0.91869,0.60859,0.97375,0.00100459,0.00100459,0.00100459
11,12816,0.99746,0.6609,0.96905,0.8504,0.74579,0.83567,0.6061,0.91042,0.59869,0.96445,0.00095743,0.00095743,0.00095743
12,14020.3,0.978,0.64864,0.96633,0.89571,0.72423,0.83917,0.62385,0.9063,0.57756,0.96191,0.000910273,0.000910273,0.000910273
13,15139.4,0.9634,0.62844,0.96136,0.88085,0.78159,0.87968,0.64112,0.87833,0.57276,0.95277,0.000863116,0.000863116,0.000863116
14,16256,0.95328,0.61762,0.9549,0.89359,0.77037,0.8816,0.66001,0.87218,0.54405,0.95224,0.000815959,0.000815959,0.000815959
15,17374.2,0.93692,0.60398,0.9503,0.86402,0.78082,0.87096,0.65102,0.84941,0.54628,0.94436,0.000768802,0.000768802,0.000768802
16,18496.4,0.92214,0.58906,0.94358,0.92285,0.72589,0.87021,0.65139,0.8626,0.54192,0.95034,0.000721645,0.000721645,0.000721645
17,19620.9,0.91121,0.58033,0.93908,0.87044,0.80769,0.88973,0.66252,0.85796,0.532,0.95241,0.000674488,0.000674488,0.000674488
18,20757.1,0.90154,0.57018,0.93836,0.90206,0.82103,0.9028,0.68973,0.83525,0.50922,0.94005,0.000627331,0.000627331,0.000627331
19,21911.1,0.88797,0.55985,0.93459,0.91326,0.80656,0.90254,0.67737,0.84229,0.51834,0.93835,0.000580174,0.000580174,0.000580174
20,23086.5,0.87714,0.54755,0.92957,0.89542,0.8376,0.91023,0.69507,0.81354,0.5093,0.9296,0.000533017,0.000533017,0.000533017
21,24257.6,0.86362,0.53275,0.92348,0.87355,0.81752,0.89988,0.67226,0.83872,0.52737,0.94063,0.00048586,0.00048586,0.00048586
22,25421.5,0.83874,0.51566,0.91709,0.88284,0.84038,0.91339,0.68835,0.82206,0.50145,0.93178,0.000438703,0.000438703,0.000438703
23,26571.1,0.82937,0.50647,0.913,0.91312,0.83588,0.91784,0.68853,0.82323,0.49628,0.93484,0.000391546,0.000391546,0.000391546
24,27729.2,0.8113,0.49481,0.9082,0.94185,0.82732,0.91998,0.70425,0.80919,0.49034,0.92839,0.000344389,0.000344389,0.000344389
25,28906.9,0.79835,0.48231,0.90224,0.94011,0.82714,0.92053,0.70363,0.79949,0.47274,0.92861,0.000297232,0.000297232,0.000297232
26,30028.1,0.78264,0.46866,0.89847,0.92513,0.85151,0.92639,0.70699,0.79442,0.47506,0.92488,0.000250075,0.000250075,0.000250075
27,31160.9,0.76955,0.46416,0.89599,0.94317,0.83986,0.92501,0.71103,0.77697,0.46812,0.91944,0.000202918,0.000202918,0.000202918
28,32276.6,0.75859,0.45542,0.89193,0.93379,0.8458,0.92937,0.71786,0.76445,0.45704,0.91731,0.000155761,0.000155761,0.000155761
29,33387.9,0.74658,0.44813,0.89072,0.92488,0.85054,0.92955,0.72907,0.75727,0.44855,0.9135,0.000108604,0.000108604,0.000108604
30,34496.3,0.72897,0.43771,0.88464,0.92765,0.85678,0.93181,0.72834,0.74877,0.44412,0.91046,6.1447e-05,6.1447e-05,6.1447e-05
