epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,61.1745,3.97135,2.78988,1.16089,0.76233,0.04403,0.02191,0.0052,3.84273,2.10315,0.97773,0.000474065,0.000474065,0.000474065
2,118.913,3.51436,1.68323,0.91215,0.7611,0.03688,0.02302,0.00503,4.09665,1.81973,0.95808,0.000903354,0.000903354,0.000903354
3,178.073,3.4197,1.60292,0.87429,0.80572,0.06477,0.05144,0.01553,3.46795,1.47927,0.87883,0.00128549,0.00128549,0.00128549
4,236.442,3.37016,1.54425,0.85931,0.81472,0.07216,0.06045,0.0216,3.27052,1.39958,0.8656,0.00121679,0.00121679,0.00121679
5,294.575,3.26577,1.50438,0.85038,0.49229,0.07416,0.06244,0.02163,3.26966,1.39327,0.85989,0.00114606,0.00114606,0.00114606
6,351.654,3.20305,1.48339,0.84081,0.5165,0.07837,0.06784,0.02457,3.18964,1.32911,0.85778,0.00107532,0.00107532,0.00107532
7,408.108,3.15088,1.44548,0.83355,0.22592,0.10155,0.07339,0.02661,3.15881,1.32348,0.85611,0.00100459,0.00100459,0.00100459
8,464.525,3.12663,1.43635,0.82549,0.37684,0.08133,0.07685,0.02688,3.15481,1.34298,0.8427,0.000933851,0.000933851,0.000933851
9,521.494,3.10558,1.44132,0.82647,0.32671,0.09635,0.07858,0.02645,3.20989,1.31639,0.84424,0.000863116,0.000863116,0.000863116
10,577.274,3.08632,1.39823,0.81786,0.37068,0.08835,0.07393,0.02661,3.13343,1.31222,0.84402,0.00079238,0.00079238,0.00079238
11,631.162,2.99194,1.42808,0.79966,0.24702,0.09595,0.07397,0.02683,3.16338,1.31501,0.8454,0.000721645,0.000721645,0.000721645
12,685.228,2.93244,1.33949,0.78698,0.29329,0.09875,0.08238,0.03338,2.99753,1.26521,0.83159,0.000650909,0.000650909,0.000650909
13,739.157,2.89259,1.318,0.78442,0.27666,0.0932,0.08112,0.03206,3.0808,1.26595,0.83593,0.000580174,0.000580174,0.000580174
14,793.641,2.86317,1.31272,0.78303,0.49105,0.09228,0.08722,0.03515,3.03667,1.24591,0.82891,0.000509438,0.000509438,0.000509438
15,848.86,2.82162,1.28286,0.77601,0.2936,0.10566,0.09129,0.03717,2.93738,1.23607,0.82393,0.000438703,0.000438703,0.000438703
16,903.411,2.79187,1.26258,0.77319,0.28672,0.09995,0.08712,0.03626,2.96438,1.24022,0.8275,0.000367967,0.000367967,0.000367967
17,957.97,2.75798,1.23772,0.76893,0.2377,0.11652,0.09129,0.03784,2.95153,1.25791,0.82525,0.000297232,0.000297232,0.000297232
18,1012.68,2.72134,1.21712,0.77094,0.33875,0.0967,0.09194,0.03948,2.92798,1.22693,0.82158,0.000226497,0.000226497,0.000226497
19,1067.59,2.71361,1.22162,0.77105,0.2817,0.1146,0.09607,0.03928,2.95707,1.22095,0.8241,0.000155761,0.000155761,0.000155761
20,1122.53,2.70977,1.2158,0.76709,0.28232,0.12206,0.09571,0.04102,2.8818,1.1962,0.8247,8.50255e-05,8.50255e-05,8.50255e-05
